"Allele"	"VUS"	"Se"
A0101	0.8702	1
A0201	0.5862	0.9155
A0202	NA	0.9534
A0203	NA	0.9459
A0205	NA	NaN
A0206	0.6632	0.9286
A0301	0.5507	0.5238
A1101	0.6619	0.7458
A2402	0.596	0.3333
A2902	NA	0.7222
A3001	NA	0.9189
A3002	0.4548	0.375
A3101	NA	0.8684
A3201	NA	0.9722
A3301	NA	0.8571
A6801	0.7253	0.8947
A6802	NA	0.8261
B0702	0.5056	0.5
B0801	0.7567	0.8333
B1501	NA	0.7812
B1503	NA	1
B2704	NULL	NULL
B2705	NA	0.5
B2706	NULL	NULL
B3501	0.8083	0.9286
B3801	0.201	0
B4403	0.6102	0.5
B5101	NA	0.75
B5301	NA	0.6
B5401	0.9078	0.75
B5701	0.509	0.625
B5801	NA	0.5714
